District,Places,Theme,Latitude,Longitude,Rating,No. of days
Una,Chintpurni Temple,Religious Sites,31.808839,76.10287666,4.8,1
Una,Sheetla Devi Temple,Religious Sites,31.47151183,76.26666828,4.6,1
Una,Baba Rudranand Ashram,Religious Sites,31.54480069,76.23097928,4,1
Una,Dera Baba Bharbhag Singh,Religious Sites,31.59331277,76.27356938,4,1
Una,Pir Nigaha,Religious Sites,31.48910082,76.34206059,4.5,1
Una,Shiva Bari,Religious Sites,31.65054886,76.09673781,3,1
Una,Solasingi Fort,Historic Sites,31.62674119,76.37520166,4,1
Una,Baba Garib Nath Mandir,Religious Sites,31.46814742,76.18449659,4.3,1
Una,Banode Mahadev Mandir,Religious Sites,31.46731556,76.35351959,4.5,1
Una,Kila Baba Bedi Sahib,Religious Sites,31.46723833,76.27219819,3,1
Una,Gobind Sagar Lake,Lake,31.57760141,76.37378405,4,1
